,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
0,5/2/2023 14:15:26,TH-10,Phra Nakhon,Bangkok,Thailand,84,p2,34,1007,45,6.06,176
1,5/2/2023 14:15:57,TH-11,Bang Phli,Samut Prakan,Thailand,61,p2,35,1008,52,3.6,170
2,5/2/2023 14:16:28,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,68,p2,34,1008,56,4.63,290
3,5/2/2023 14:16:59,TH-13,Khlong Luang,Pathum Thani,Thailand,76,p2,34,1008,83,4.63,290
4,5/2/2023 14:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,94,p2,38,1006,35,4.4,165
5,5/2/2023 14:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,85,p2,38,1006,33,3.51,184
6,5/2/2023 14:18:31,TH-16,Ban Mi,Lop Buri,Thailand,64,p2,39,1006,30,3.79,173
7,5/2/2023 14:19:02,TH-20,Na Kluea,Chon Buri,Thailand,68,p2,33,1008,64,5.21,219
8,5/2/2023 14:19:33,TH-21,Ban Khai,Rayong,Thailand,42,p2,32,1009,64,4.74,185
9,5/2/2023 14:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,73,p2,36,1009,34,4.12,200
10,5/2/2023 14:20:35,TH-52,Hang Chat,Lampang,Thailand,102,p2,35,1007,39,1.46,217
11,5/2/2023 15:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,84,p2,34,1006,46,5.7,175
12,5/2/2023 15:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,57,p2,35,1007,49,4.12,200
13,5/2/2023 15:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,67,p2,34,1007,57,3.6,260
14,5/2/2023 15:16:59,TH-13,Khlong Luang,Pathum Thani,Thailand,69,p2,35,1007,83,3.6,260
15,5/2/2023 15:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,99,p2,38,1005,40,5.28,153
16,5/2/2023 15:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,85,p2,37,1005,36,4.11,167
17,5/2/2023 15:18:32,TH-16,Ban Mi,Lop Buri,Thailand,64,p2,38,1005,32,4.39,178
18,5/2/2023 15:19:03,TH-20,Na Kluea,Chon Buri,Thailand,68,p2,32,1007,65,5.47,213
19,5/2/2023 15:19:34,TH-21,Ban Khai,Rayong,Thailand,42,p2,32,1008,68,4.28,187
20,5/2/2023 15:20:05,TH-50,Chiang Mai,Chiang Mai,Thailand,68,p2,37,1007,30,3.6,190
21,5/2/2023 15:20:36,TH-52,Hang Chat,Lampang,Thailand,86,p2,32,1007,56,1.86,307
22,5/2/2023 16:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,84,p2,34,1005,47,5.68,173
23,5/2/2023 16:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,61,p2,34,1007,55,7.72,190
24,5/2/2023 16:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,65,p2,34,1007,60,4.12,270
25,5/2/2023 16:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,72,p2,35,1007,83,4.12,270
26,5/2/2023 16:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,99,p2,35,1005,45,3.56,169
27,5/2/2023 16:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,83,p2,36,1005,38,4.23,169
28,5/2/2023 16:18:34,TH-16,Ban Mi,Lop Buri,Thailand,62,p2,37,1005,34,1.44,196
29,5/2/2023 16:19:05,TH-20,Na Kluea,Chon Buri,Thailand,59,p2,32,1007,63,5.23,197
30,5/2/2023 16:19:36,TH-21,Ban Khai,Rayong,Thailand,34,p2,33,1008,68,4.48,184
31,5/2/2023 16:20:07,TH-50,Chiang Mai,Chiang Mai,Thailand,65,p2,32,970,41,1.42,290
32,5/2/2023 16:20:38,TH-52,Hang Chat,Lampang,Thailand,97,p2,33,1006,46,1.82,210
33,5/2/2023 17:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,35,1006,49,6.77,178
34,5/2/2023 17:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,65,p2,33,1006,66,7.2,200
35,5/2/2023 17:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,75,p2,35,1006,58,3.6,230
36,5/2/2023 17:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,67,p2,35,1006,74,3.6,230
37,5/2/2023 17:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,81,p2,34,1005,44,2.0,189
38,5/2/2023 17:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,78,p2,32,1005,41,4.02,164
39,5/2/2023 17:18:32,TH-16,Ban Mi,Lop Buri,Thailand,62,p2,32,1005,38,0.98,203
40,5/2/2023 17:19:03,TH-20,Na Kluea,Chon Buri,Thailand,57,p2,33,1007,64,5.55,189
41,5/2/2023 17:19:33,TH-21,Ban Khai,Rayong,Thailand,46,p2,33,1007,69,4.33,190
42,5/2/2023 17:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,70,p2,32,982,43,5.14,260
43,5/2/2023 17:20:35,TH-52,Hang Chat,Lampang,Thailand,109,p2,32,1006,50,2.7,192
44,5/2/2023 18:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,34,1006,50,6.05,178
45,5/2/2023 18:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,55,p2,33,1007,66,5.14,190
46,5/2/2023 18:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,75,p2,34,1007,59,4.12,180
47,5/2/2023 18:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,68,p2,35,1007,81,4.12,180
48,5/2/2023 18:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,123,p2,30,1006,48,1.59,153
49,5/2/2023 18:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,78,p2,30,1005,44,4.06,152
50,5/2/2023 18:18:34,TH-16,Ban Mi,Lop Buri,Thailand,62,p2,31,1005,41,1.94,147
51,5/2/2023 18:19:05,TH-20,Na Kluea,Chon Buri,Thailand,57,p2,32,1007,68,5.59,183
52,5/2/2023 18:19:36,TH-21,Ban Khai,Rayong,Thailand,46,p2,31,1008,71,3.55,196
53,5/2/2023 18:20:07,TH-50,Chiang Mai,Chiang Mai,Thailand,72,p2,32,980,53,4.63,120
54,5/2/2023 18:20:38,TH-52,Hang Chat,Lampang,Thailand,99,p2,33,1006,55,2.16,208
55,5/2/2023 19:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,32,1007,50,5.73,182
56,5/2/2023 19:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,49,p2,32,1008,62,3.09,160
57,5/2/2023 19:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,55,p2,31,1008,64,5.14,60
58,5/2/2023 19:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,29,p2,30,1008,74,5.14,60
59,5/2/2023 19:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,66,p2,31,1006,54,2.35,153
60,5/2/2023 19:18:02,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,87,p2,30,1006,51,3.55,155
61,5/2/2023 19:18:34,TH-16,Ban Mi,Lop Buri,Thailand,64,p2,30,1006,44,2.98,161
62,5/2/2023 19:19:04,TH-20,Na Kluea,Chon Buri,Thailand,55,p2,29,1008,76,4.63,186
63,5/2/2023 19:19:35,TH-21,Ban Khai,Rayong,Thailand,46,p2,31,1009,81,3.02,196
64,5/2/2023 19:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,74,p2,31,983,58,3.6,180
65,5/2/2023 19:20:37,TH-52,Hang Chat,Lampang,Thailand,116,p2,28,1007,65,1.56,214
